cleStation;idStaSINP;dSPublique;refBiblio;idOrigSta;dateDebut;dateFin;dateImprec;observer;nomStation;isComplex;exposition;altMin;altMax;altMoy;profMin;profMax;profMoy;surface;methCalcSu;usage;typeSol;geologie;acidite;comment;WKT;natObjGeo;precisGeom;echelleNum
21;;Pr;;21;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1158.469;sig;;21;21;;;MULTIPOLYGON(((592600.443499997 6186239.6093,592609.5198 6186235.4839,592614.628200002 6186237.3084,592616.093599997 6186231.5685,592622.312600002 6186218.7293,592628.531599998 6186206.0908,592630.0101 6186200.5244,592628.048799999 6186199.9877,592627.677900001 6186196.4367,592627.249399997 6186192.2303,592624.173799999 6186191.1591,592622.906400003 6186192.8105,592617.303599998 6186200.1871,592610.952600002 6186208.5502,592604.739200003 6186216.7416,592599.106799997 6186224.2036,592592.406199999 6186233.123,592584.408299997 6186243.7579,592578.898400001 6186251.0907,592572.240099996 6186259.734,592564.512900002 6186269.7504,592562.542499997 6186272.2815,592563.909199998 6186273.7834,592565.780699998 6186278.4528,592566.365500003 6186281.725,592566.586800002 6186282.9572,592567.072800003 6186282.1656,592572.301299997 6186273.8638,592575.127599999 6186269.328,592576.159699999 6186268.5274,592578.485 6186266.7102,592579.000299998 6186266.3777,592579.815899998 6186262.2999,592582.291100003 6186257.7617,592588.479400001 6186248.6856,592590.954700001 6186245.3852,592595.080300003 6186244.1475,592600.443499997 6186239.6093)));St;;
22;;Pr;;22;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1962.901;sig;;22;22;;;MULTIPOLYGON(((592348.865099996 6186408.1539,592342.251800001 6186402.7059,592321.792599998 6186403.642,592319.014600001 6186403.6882,592307.120099999 6186402.5364,592304.899700001 6186402.6924,592288.029700004 6186406.6257,592271.702799998 6186408.0489,592259.261799999 6186409.2089,592266.931900002 6186414.8774,592281.752499998 6186423.1265,592286.624300003 6186425.8641,592300.862199999 6186432.4951,592309.837 6186435.7203,592317.466200002 6186437.1813,592321.389799997 6186437.4336,592324.651600003 6186436.5853,592329.780500002 6186433.6812,592334.6787 6186430.9795,592343.4287 6186422.4571,592345.672700003 6186418.4497,592346.674099997 6186413.5896,592347.214500003 6186412.6675,592349.035599999 6186411.3668,592349.441200003 6186409.3751,592348.865099996 6186408.1539)));St;;
23;;Pr;;23;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1073.299;sig;;23;23;;;MULTIPOLYGON(((592387.438199997 6186460.5133,592391.010700002 6186459.3521,592405.035300002 6186450.9374,592412.982799999 6186429.4328,592423.735 6186418.6805,592435.878600001 6186411.3945,592428.844099998 6186410.5552,592417.395099998 6186409.2108,592405.700400002 6186407.7817,592405.970299996 6186410.2657,592405.502800003 6186416.343,592404.100299999 6186424.2905,592391.478200004 6186432.7053,592391.133100003 6186432.8049,592390.585 6186433.9531,592384.655400001 6186440.8802,592377.579 6186449.2026,592376.325900003 6186450.6553,592380.609399997 6186457.5978,592382.062399998 6186459.9556,592386.400600001 6186459.8702,592387.438199997 6186460.5133)));St;;
24;;Pr;;24;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;2978.058;sig;;24;24;;;MULTIPOLYGON(((592110.328199998 6186520.3547,592100.854099996 6186509.9921,592097.577299997 6186506.4341,592101.25 6186502.1646,592107.747299999 6186505.9071,592111.540899999 6186501.8738,592119.473099999 6186503.9648,592124.500100002 6186500.2285,592115.780900002 6186491.2826,592105.6642 6186480.9704,592100.865699999 6186475.6115,592087.601099998 6186460.707,592079.847199999 6186465.7989,592061.851800002 6186477.6519,592052.044299997 6186484.1279,592047.908799998 6186493.9631,592045.518700004 6186499.7198,592048.942900002 6186505.1016,592052.8781 6186511.3086,592058.750500001 6186517.92,592066.4397 6186526.486,592073.541500002 6186522.6357,592084.734200001 6186511.5314,592091.2958 6186517.377,592094.978 6186520.6901,592102.130099997 6186530.3768,592107.5757 6186537.7099,592113.117799997 6186533.2901,592111.219400004 6186529.9473,592113.098300003 6186526.859,592110.328199998 6186520.3547)));St;;
25;;Pr;;25;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;6019.924;sig;;25;25;;;MULTIPOLYGON(((592280.766599998 6186543.121,592277.4595 6186530.12,592274.050099999 6186530.5367,592273.227499999 6186526.104,592273.190200001 6186525.7882,592276.057599999 6186525.1921,592275.645199999 6186523.8492,592273.336300001 6186516.3446,592273.251699999 6186515.949,592272.160599999 6186510.1444,592272.076 6186509.7488,592270.439800002 6186500.4862,592270.194600001 6186499.3026,592267.913400002 6186488.1915,592264.332400002 6186470.7499,592262.580899999 6186462.1774,592256.6281 6186460.3908,592229.852600001 6186452.3343,592211.454899997 6186446.785,592192.028099999 6186440.9221,592180.254100002 6186433.5422,592168.602399997 6186426.1934,592163.639700003 6186432.6281,592158.748499997 6186438.9624,592151.899599999 6186444.8332,592157.071400002 6186449.4779,592164.716799997 6186456.298,592166.052500002 6186457.4667,592168.233199999 6186459.6139,592171.181500003 6186462.4761,592174.798199996 6186465.9558,592176.061899997 6186467.1919,592177.156099997 6186468.497,592179.142499998 6186470.6805,592182.097900003 6186473.9726,592185.434900001 6186476.7622,592189.241599999 6186479.941,592193.814599998 6186483.7686,592194.8037 6186484.6123,592196.681500003 6186486.1359,592199.1774 6186488.1786,592202.487800002 6186490.8363,592205.181400001 6186493.0411,592208.678900003 6186496.6881,592211.581699997 6186499.7496,592213.792300001 6186502.2271,592217.42 6186506.3683,592217.952 6186506.9947,592228.667 6186513.4328,592229.946500003 6186514.1526,592234.505099997 6186517.4115,592238.383900002 6186520.245,592245.203100003 6186527.5156,592255.208800003 6186534.6935,592256.895400003 6186535.8564,592262.219599999 6186539.4202,592263.816500001 6186540.4655,592269.589299999 6186542.8705,592274.428599998 6186543.6633,592280.766599998 6186543.121),(592257.6972 6186511.9965,592259.372299999 6186511.6059,592260.870499998 6186519.5164,592251.415799998 6186521.2057,592250.504699998 6186513.3337,592257.6972 6186511.9965)));St;;
26;;Pr;;26;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;827.82;sig;;26;26;;;MULTIPOLYGON(((592565.566200003 6186554.3221,592566.307800002 6186550.8427,592566.3653 6186550.5717,592563.046800002 6186546.3051,592554.164499998 6186544.9027,592542.1734 6186542.9041,592541.590800002 6186544.4072,592540.505500004 6186547.2643,592537.8024 6186548.1751,592525.647600003 6186553.3175,592520.972800002 6186553.3175,592520.767099999 6186553.1461,592521.3785 6186554.1141,592525.269199997 6186559.1164,592528.109 6186567.3987,592528.295599997 6186567.4953,592536.351499997 6186571.7682,592543.522399999 6186575.5795,592546.827 6186577.3111,592547.356399998 6186576.3096,592550.384900004 6186570.2249,592555.1664 6186560.4985,592560.611599997 6186557.2717,592561.415 6186556.7996,592565.566200003 6186554.3221)));St;;
27;;Pr;;27;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1782.152;sig;;27;27;;;MULTIPOLYGON(((592464.300399996 6186557.2768,592458.112099998 6186555.2138,592453.986599997 6186556.4515,592449.861 6186565.5279,592449.861 6186575.8417,592443.2601 6186578.7294,592436.659199998 6186583.2676,592434.851400003 6186585.0753,592438.410800003 6186588.8386,592436.449500002 6186590.499,592426.937600002 6186597.168,592418.843099996 6186602.8409,592410.053 6186609.0014,592395.944899999 6186618.923,592395.801200002 6186619.243,592393.4485 6186624.4819,592397.0713 6186627.7564,592404.4366 6186634.4622,592402.338299997 6186636.6807,592395.182800002 6186644.3429,592391.388499998 6186648.3361,592391.266199999 6186649.7826,592396.389700003 6186644.8768,592424.395800002 6186622.9318,592442.160700001 6186605.1668,592446.606700003 6186600.9114,592456.790700004 6186591.1638,592468.494499996 6186571.936,592469.95 6186568.9486,592466.363200001 6186563.8774,592464.300399996 6186557.2768)));St;;
28;;Pr;;28;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;11143.898;sig;;28;28;;;MULTIPOLYGON(((592311.198200002 6186613.1849,592305.993699998 6186604.4978,592304.789700001 6186602.4533,592302.1281 6186597.178,592295.172499999 6186583.4779,592291.513499998 6186576.2737,592290.120499998 6186571.652,592286.1642 6186558.8949,592282.021899998 6186545.5054,592278.808799997 6186545.7573,592276.5876 6186545.8737,592271.817400001 6186545.7149,592267.497299999 6186544.4769,592263.278700002 6186542.3238,592260.624 6186540.9785,592257.716899998 6186539.2902,592255.573399998 6186538.0455,592253.3587 6186536.7723,592250.394900002 6186534.4397,592248.616 6186533.0004,592245.8816 6186530.3859,592240.441799998 6186525.1567,592237.085299999 6186522.0764,592230.461300001 6186517.7401,592228.776100002 6186516.6566,592222.645599999 6186513.8608,592218.601300001 6186509.8787,592209.919500001 6186501.4084,592201.276100002 6186493.4933,592197.919600002 6186490.4128,592194.399800003 6186493.33,592184.618600003 6186501.3935,592172.904299997 6186511.0372,592162.430699997 6186519.668,592155.185500003 6186520.1859,592149.886500001 6186525.1572,592147.251 6186531.99,592153.505800001 6186543.994,592151.6765 6186548.3122,592141.471100003 6186553.7229,592126.409699999 6186561.7291,592136.731899999 6186562.64,592140.444799997 6186564.2902,592151.996299997 6186565.1152,592161.485200003 6186566.7654,592166.848300003 6186568.0031,592175.924400002 6186569.2408,592181.700300001 6186571.716,592187.063500002 6186586.9805,592194.902 6186590.6937,592200.677699998 6186578.7294,592208.516400002 6186576.6667,592212.229199998 6186577.9044,592222.543300003 6186585.743,592225.018600002 6186580.7924,592220.480300002 6186570.4783,592216.767499998 6186558.5143,592221.305600002 6186556.8641,592227.906499997 6186562.2272,592246.4714 6186564.2902,592253.809900001 6186559.1261,592254.31 6186563.8774,592255.960199997 6186577.4919,592250.184299998 6186586.568,592238.220299996 6186585.743,592235.3323 6186584.5053,592224.606 6186593.5814,592216.354900002 6186595.6443,592213.879500002 6186601.0075,592223.7808 6186608.0209,592239.458 6186612.9716,592243.171 6186619.5724,592253.897500001 6186620.8101,592264.341300003 6186627.4563,592266.392399997 6186621.759,592268.900399998 6186618.6937,592272.801600002 6186617.579,592274.752400003 6186615.3497,592280.8829 6186610.0552,592285.620200001 6186607.8257,592289.242899999 6186606.9897,592293.701399997 6186610.0552,592295.652199998 6186613.6777,592297.045400001 6186618.415,592298.996200003 6186623.431,592301.782899998 6186625.6605,592305.405500002 6186628.447,592304.012100004 6186632.9057,592297.045400001 6186636.807,592295.094899997 6186643.2162,592295.094899997 6186649.9042,592301.225400001 6186655.4775,592307.3561 6186660.215,592311.257399999 6186660.4935,592315.1589 6186661.3295,592322.682700001 6186661.051,592329.123400003 6186660.5555,592328.192400001 6186658.9146,592325.827100001 6186653.8722,592323.946800001 6186649.8541,592321.184299998 6186643.7863,592319.393700004 6186639.8857,592318.200599998 6186634.9827,592316.069499999 6186626.443,592313.905299999 6186617.6656,592311.198200002 6186613.1849)));St;;
29;;Pr;;29;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;1118.622;sig;;29;29;;;MULTIPOLYGON(((592432.528 6186684.0168,592452.5801 6186680.0064,592453.722599998 6186682.2911,592457.541100003 6186675.336,592460.509599999 6186670.9197,592464.533399999 6186664.8977,592466.681699999 6186662.1624,592470.347800002 6186657.4962,592470.846699998 6186656.9814,592475.739699997 6186652.2153,592482.475100003 6186645.6719,592484.207199998 6186644.2934,592490.039099999 6186639.7103,592489.342799999 6186638.2928,592474.349100001 6186649.4992,592470.874700002 6186644.5943,592482.658600003 6186635.5882,592471.912199996 6186637.4846,592466.354099996 6186636.3729,592458.3292 6186632.9779,592458.3292 6186635.5956,592449.914399996 6186639.3356,592445.985399999 6186641.1214,592454.049699999 6186646.5321,592457.320100002 6186648.7275,592456.590499997 6186650.4296,592452.0788 6186660.4557,592443.055500001 6186665.4686,592429.520400003 6186669.9803,592425.008699998 6186676.9986,592432.528 6186684.0168)));St;;
30;;Pr;;30;2017-07-06;2017-07-06;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;17364.776;sig;;30;30;;;MULTIPOLYGON(((592255.660599999 6186658.5177,592255.245700002 6186655.199,592257.753700003 6186644.331,592261.933700003 6186635.6923,592261.967500001 6186635.5717,592252.247299999 6186630.7114,592237.395300001 6186629.8862,592229.144199997 6186629.0612,592219.655400001 6186619.9849,592215.117200002 6186609.6711,592209.754 6186601.0075,592206.453599997 6186599.7698,592201.502899997 6186603.0702,592191.601599999 6186608.8461,592187.063500002 6186608.4333,592184.228600003 6186606.7796,592188.301200002 6186603.4827,592189.538900003 6186598.9448,592182.938 6186591.9312,592177.162199996 6186586.568,592170.561300002 6186579.1422,592168.915 6186578.7305,592168.735 6186578.8405,592168.646 6186578.6634,592163.9604 6186577.4919,592160.247400001 6186568.8281,592146.2205 6186568.8281,592138.382100001 6186573.779,592137.969400004 6186581.2048,592143.745200001 6186586.9805,592144.848099999 6186589.0023,592135.9067 6186591.1061,592132.627300002 6186591.1061,592137.543200001 6186597.0616,592130.9366 6186599.0376,592128.142800003 6186599.8782,592119.092 6186600.863,592118.3605 6186609.6091,592102.570699997 6186616.8994,592089.544299997 6186621.5234,592077.534900002 6186625.7335,592072.7667 6186627.4407,592079.828900002 6186637.0098,592083.210500002 6186641.5984,592087.991099998 6186647.6323,592091.217200004 6186651.6675,592092.384 6186654.983,592100.302699998 6186665.0539,592103.351499997 6186668.973,592105.975599997 6186671.9861,592109.643700004 6186676.2127,592115.165700004 6186681.1227,592122.052100003 6186687.1614,592125.805600002 6186690.0647,592128.985699996 6186692.5244,592131.475 6186694.4679,592137.132 6186698.7009,592142.374200001 6186702.6233,592146.699 6186705.8859,592152.228200004 6186709.4858,592160.862499997 6186715.0984,592165.622299999 6186718.1555,592168.720299996 6186721.518,592171.194200002 6186724.2955,592176.044699997 6186731.0431,592183.651100002 6186741.675,592193.676200002 6186753.537,592195.944 6186756.2386,592197.285499997 6186757.7645,592201.6818 6186763.5668,592201.9661 6186763.9412,592225.521399997 6186716.8304,592239.355400003 6186690.0647,592255.660599999 6186658.5177),(592212.9573 6186642.5422,592216.382 6186636.2656,592225.668799996 6186642.4363,592234.363499999 6186648.1671,592235.5471 6186648.9943,592231.174099997 6186656.8749,592223.347400002 6186651.7384,592224.2355 6186650.0298,592212.9573 6186642.5422),(592238.719599999 6186641.2714,592240.702299997 6186637.6177,592243.731 6186639.6423,592241.888099998 6186643.2513,592238.719599999 6186641.2714),(592204.107100002 6186631.4038,592206.5009 6186627.1503,592210.275 6186629.9036,592207.892399997 6186633.9028,592204.107100002 6186631.4038)));St;;
